gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1000,A1,ZN,NAND2_X1,negative_unate,0.0165673,0.0162605,0.00986223,0.00911851
U1000,A2,ZN,NAND2_X1,negative_unate,0.0164225,0.0154155,0.0106156,0.00746854
U1001,A1,ZN,NAND2_X1,negative_unate,0.0158837,0.0157706,0.00951254,0.0087632
U1001,A2,ZN,NAND2_X1,negative_unate,0.0164381,0.0159865,0.0103732,0.00766459
U1002,A,ZN,INV_X1,negative_unate,0.0201374,0.0143058,0.0129192,0.0083817
U1003,A1,ZN,NAND2_X1,negative_unate,0.0196071,0.0180165,0.0129788,0.0102848
U1003,A2,ZN,NAND2_X1,negative_unate,0.0177874,0.0144091,0.0141794,0.00945762
U1004,A,ZN,INV_X1,negative_unate,0.0186548,0.0110557,0.0103679,0.00668018
U1005,A,Z,MUX2_X1,positive_unate,0.0429357,0.0608858,0.0163677,0.0132804
U1005,A,Z,MUX2_X1,positive_unate,0.0429379,0.0608857,0.0163677,0.0132802
U1005,B,Z,MUX2_X1,positive_unate,0.0456789,0.0642688,0.0163359,0.0132816
U1005,B,Z,MUX2_X1,positive_unate,0.0456787,0.0642689,0.0163361,0.0132817
U1005,S,Z,MUX2_X1,positive_unate,0.0462024,0.0550747,0.0164445,0.013203
U1005,S,Z,MUX2_X1,negative_unate,0.0600784,0.0677349,0.0163877,0.0132707
U1006,A,ZN,INV_X1,negative_unate,0.012627,0.00770169,0.0069757,0.00495305
U1007,A1,ZN,NAND2_X1,negative_unate,0.023307,0.0174533,0.0129341,0.0111263
U1007,A2,ZN,NAND2_X1,negative_unate,0.0237076,0.018306,0.0121561,0.00942856
U1008,A1,ZN,NAND2_X1,negative_unate,0.0235328,0.0230772,0.014948,0.0133728
U1008,A2,ZN,NAND2_X1,negative_unate,0.0243843,0.022016,0.0161329,0.0115698
U1009,A1,ZN,NOR2_X1,negative_unate,0.0554544,0.0175896,0.0439516,0.0100759
U1009,A2,ZN,NOR2_X1,negative_unate,0.0612976,0.0202874,0.0439469,0.011174
U1010,A,ZN,XNOR2_X1,positive_unate,0.0334859,0.032058,0.0121028,0.00881688
U1010,A,ZN,XNOR2_X1,negative_unate,0.0231008,0.00897584,0.0174989,0.00608051
U1010,B,ZN,XNOR2_X1,positive_unate,0.0346915,0.0327253,0.0120871,0.00731127
U1010,B,ZN,XNOR2_X1,negative_unate,0.0269413,0.0111916,0.0175006,0.00792679
U1011,A1,ZN,OR2_X1,positive_unate,0.0333653,0.050301,0.0134858,0.0118314
U1011,A2,ZN,OR2_X1,positive_unate,0.0398317,0.0576731,0.0138557,0.011832
U1012,A,ZN,INV_X1,negative_unate,0.0159247,0.00819477,0.0131707,0.0059893
U1013,A,ZN,XNOR2_X1,positive_unate,0.0469832,0.0445832,0.0196877,0.0143788
U1013,A,ZN,XNOR2_X1,negative_unate,0.0444624,0.0213353,0.0333916,0.0124457
U1013,B,ZN,XNOR2_X1,positive_unate,0.0475388,0.0427531,0.0196579,0.0127131
U1013,B,ZN,XNOR2_X1,negative_unate,0.0470336,0.0233157,0.0333981,0.0139696
U1014,A,ZN,INV_X1,negative_unate,0.0119121,0.00808328,0.00664515,0.00542503
U1015,A,Z,BUF_X2,positive_unate,0.0717785,0.0505388,0.050577,0.022378
U1016,A,Z,MUX2_X1,positive_unate,0.0453487,0.0654927,0.0131326,0.0121591
U1016,A,Z,MUX2_X1,positive_unate,0.0453483,0.0654935,0.0131326,0.0121592
U1016,B,Z,MUX2_X1,positive_unate,0.0400975,0.0600583,0.0130487,0.0121561
U1016,B,Z,MUX2_X1,positive_unate,0.0400966,0.0600585,0.0130487,0.0121562
U1016,S,Z,MUX2_X1,positive_unate,0.0494295,0.0574688,0.0139338,0.0120962
U1016,S,Z,MUX2_X1,negative_unate,0.0612176,0.0678244,0.0131152,0.0120614
U1017,A1,ZN,AND2_X1,positive_unate,0.0423608,0.0336419,0.0151289,0.00836822
U1017,A2,ZN,AND2_X1,positive_unate,0.0367433,0.0312075,0.015086,0.00855244
U1018,A,Z,MUX2_X1,positive_unate,0.052235,0.0685651,0.0186568,0.0145382
U1018,A,Z,MUX2_X1,positive_unate,0.0522346,0.0685659,0.0186563,0.0145384
U1018,B,Z,MUX2_X1,positive_unate,0.0449352,0.0637759,0.0185845,0.0145411
U1018,B,Z,MUX2_X1,positive_unate,0.0449347,0.0637757,0.0185838,0.0145403
U1018,S,Z,MUX2_X1,positive_unate,0.0489691,0.0575865,0.0186803,0.0144676
U1018,S,Z,MUX2_X1,negative_unate,0.0628456,0.0702472,0.018635,0.0145316
U1019,A,Z,MUX2_X1,positive_unate,0.0467825,0.0645257,0.0154224,0.0129971
U1019,A,Z,MUX2_X1,positive_unate,0.0467826,0.0645262,0.0154221,0.0129976
U1019,B,Z,MUX2_X1,positive_unate,0.0409923,0.0606952,0.015382,0.0129967
U1019,B,Z,MUX2_X1,positive_unate,0.0409923,0.0606951,0.015381,0.0129965
U1019,S,Z,MUX2_X1,positive_unate,0.0446287,0.0543681,0.0154724,0.0129174
U1019,S,Z,MUX2_X1,negative_unate,0.0587192,0.0670244,0.015438,0.0129884
U1020,A,ZN,INV_X1,negative_unate,0.0169879,0.010056,0.00935479,0.00662201
U1021,A1,ZN,OR2_X1,positive_unate,0.0234964,0.046309,0.00663396,0.00870889
U1021,A2,ZN,OR2_X1,positive_unate,0.0249761,0.0494006,0.00676696,0.00870735
U1022,A,ZN,INV_X1,negative_unate,0.0123595,0.00782746,0.00687952,0.0058224
U1023,A1,ZN,OR2_X1,positive_unate,0.0208428,0.042219,0.00641782,0.00869957
U1023,A2,ZN,OR2_X1,positive_unate,0.0273393,0.0505824,0.00674648,0.00870016
U1024,A,ZN,OAI21_X1,negative_unate,0.0250699,0.0183764,0.0138534,0.00818558
U1024,A,ZN,OAI21_X1,negative_unate,0.0246864,0.0156118,0.0120755,0.00672546
U1024,A,ZN,OAI21_X1,negative_unate,0.0258667,0.0144891,0.0123693,0.00599455
U1024,B1,ZN,OAI21_X1,negative_unate,0.0314272,0.0151516,0.0184918,0.00847009
U1024,B2,ZN,OAI21_X1,negative_unate,0.0338614,0.0187814,0.0173532,0.0105631
U1025,A,Z,MUX2_X1,positive_unate,0.0436129,0.0636426,0.0132549,0.012213
U1025,A,Z,MUX2_X1,positive_unate,0.0436134,0.0636432,0.0132549,0.0122135
U1025,B,Z,MUX2_X1,positive_unate,0.0425904,0.0616056,0.0132181,0.0122107
U1025,B,Z,MUX2_X1,positive_unate,0.0425901,0.0616057,0.0132181,0.0122109
U1025,S,Z,MUX2_X1,positive_unate,0.0496668,0.0575921,0.0140868,0.0121512
U1025,S,Z,MUX2_X1,negative_unate,0.0614488,0.0679477,0.0132801,0.0121166
U1026,A1,ZN,NOR2_X1,negative_unate,0.0296392,0.00859966,0.0165982,0.0145473
U1026,A2,ZN,NOR2_X1,negative_unate,0.0280057,0.0105032,0.0142461,0.00608964
U1027,A1,ZN,OR2_X1,positive_unate,0.0317688,0.0497849,0.0118505,0.0112089
U1027,A2,ZN,OR2_X1,positive_unate,0.0330908,0.0563301,0.0119494,0.0112087
U1028,A1,ZN,NAND2_X1,negative_unate,0.029137,0.0260676,0.0217677,0.0164128
U1028,A2,ZN,NAND2_X1,negative_unate,0.0298402,0.0268474,0.0231787,0.0163849
U1029,A,ZN,INV_X1,negative_unate,0.0139791,0.00948438,0.00834849,0.00585252
U1030,A,Z,XOR2_X1,positive_unate,0.0504609,0.0507969,0.0243567,0.0117924
U1030,A,Z,XOR2_X1,negative_unate,0.0292645,0.0159912,0.0214802,0.00883531
U1030,B,Z,XOR2_X1,positive_unate,0.047699,0.056601,0.0215279,0.011697
U1030,B,Z,XOR2_X1,negative_unate,0.0347773,0.0162811,0.0243156,0.00815825
U1031,A,Z,MUX2_X1,positive_unate,0.0413748,0.0602294,0.015101,0.012952
U1031,A,Z,MUX2_X1,positive_unate,0.0413769,0.0602293,0.015101,0.0129517
U1031,B,Z,MUX2_X1,positive_unate,0.046907,0.0650332,0.0150946,0.0129527
U1031,B,Z,MUX2_X1,positive_unate,0.0469073,0.065033,0.0150945,0.0129531
U1031,S,Z,MUX2_X1,positive_unate,0.0519587,0.059121,0.0158493,0.0128961
U1031,S,Z,MUX2_X1,negative_unate,0.0637312,0.0694767,0.0151285,0.0128629
U1032,A,Z,MUX2_X1,positive_unate,0.0429523,0.0631859,0.0131643,0.011975
U1032,A,Z,MUX2_X1,positive_unate,0.0429531,0.0631865,0.0131643,0.0119753
U1032,B,Z,MUX2_X1,positive_unate,0.0428955,0.0638938,0.0131287,0.0119726
U1032,B,Z,MUX2_X1,positive_unate,0.0428953,0.0638935,0.0131287,0.0119731
U1032,S,Z,MUX2_X1,positive_unate,0.0522215,0.0592369,0.0145099,0.0119357
U1032,S,Z,MUX2_X1,negative_unate,0.0632417,0.0680665,0.013195,0.0118052
U1033,A1,ZN,NAND2_X1,negative_unate,0.0215212,0.0184446,0.013158,0.0104033
U1033,A2,ZN,NAND2_X1,negative_unate,0.0308369,0.0272656,0.0166648,0.0166753
U1034,A,ZN,INV_X1,negative_unate,0.0203028,0.0118518,0.0109391,0.00810612
U1035,A,Z,MUX2_X1,positive_unate,0.0481242,0.0643068,0.0205779,0.0149921
U1035,A,Z,MUX2_X1,positive_unate,0.0481265,0.0643066,0.0205779,0.014992
U1035,B,Z,MUX2_X1,positive_unate,0.0546028,0.0700374,0.0205883,0.0149977
U1035,B,Z,MUX2_X1,positive_unate,0.054604,0.0700379,0.020588,0.0149979
U1035,S,Z,MUX2_X1,positive_unate,0.0587142,0.0631926,0.021063,0.0149479
U1035,S,Z,MUX2_X1,negative_unate,0.0704624,0.073549,0.0205933,0.0149184
U1036,A1,ZN,NOR2_X1,negative_unate,0.0269987,0.0109977,0.0182575,0.00707137
U1036,A2,ZN,NOR2_X1,negative_unate,0.0353117,0.0152571,0.0184595,0.0144637
U1037,A1,ZN,AND2_X1,positive_unate,0.028713,0.0248888,0.00983619,0.00617579
U1037,A2,ZN,AND2_X1,positive_unate,0.0346794,0.0309986,0.00985035,0.00639077
U1038,A,ZN,INV_X1,negative_unate,0.0139127,0.0079247,0.007598,0.00713116
U1039,A1,ZN,NOR4_X1,negative_unate,0.0811035,0.0176973,0.071394,0.0107245
U1039,A2,ZN,NOR4_X1,negative_unate,0.0965427,0.0147622,0.0714436,0.00855792
U1039,A3,ZN,NOR4_X1,negative_unate,0.106983,0.0187121,0.071448,0.0103452
U1039,A4,ZN,NOR4_X1,negative_unate,0.110868,0.0153765,0.0714524,0.00970201
U1040,A,ZN,INV_X1,negative_unate,0.0134239,0.00773934,0.00735048,0.005001
U1041,A,Z,MUX2_X1,positive_unate,0.036804,0.0566131,0.0116216,0.0112916
U1041,A,Z,MUX2_X1,positive_unate,0.036806,0.0566151,0.0116214,0.0112908
U1041,B,Z,MUX2_X1,positive_unate,0.0385966,0.0592825,0.0115861,0.011288
U1041,B,Z,MUX2_X1,positive_unate,0.0385958,0.0592835,0.0115861,0.011289
U1041,S,Z,MUX2_X1,positive_unate,0.0473293,0.0555122,0.0125789,0.0112223
U1041,S,Z,MUX2_X1,negative_unate,0.0591714,0.0658681,0.0116557,0.0111852
U1042,A1,ZN,OR2_X1,positive_unate,0.0289454,0.0481179,0.00839192,0.00967052
U1042,A2,ZN,OR2_X1,positive_unate,0.0317422,0.0520865,0.00855132,0.00966819
U1043,A,Z,MUX2_X1,positive_unate,0.0454967,0.0632804,0.0184458,0.0144786
U1043,A,Z,MUX2_X1,positive_unate,0.045499,0.0632802,0.0184458,0.0144784
U1043,B,Z,MUX2_X1,positive_unate,0.0530811,0.069532,0.0184935,0.0144831
U1043,B,Z,MUX2_X1,positive_unate,0.0530814,0.0695322,0.0184933,0.0144834
U1043,S,Z,MUX2_X1,positive_unate,0.0560843,0.0621677,0.0190334,0.0144314
U1043,S,Z,MUX2_X1,negative_unate,0.0678421,0.0725239,0.0184659,0.014401
U1044,A1,ZN,NAND2_X1,negative_unate,0.0275428,0.0251857,0.0204237,0.0151192
U1044,A2,ZN,NAND2_X1,negative_unate,0.0329175,0.0268,0.0218336,0.015198
U1045,A1,ZN,NAND2_X1,negative_unate,0.0207576,0.0182734,0.0148075,0.011168
U1045,A2,ZN,NAND2_X1,negative_unate,0.0272015,0.0223641,0.0162936,0.0117189
U1046,A,ZN,OAI21_X1,negative_unate,0.0221116,0.0212829,0.0141321,0.00981976
U1046,A,ZN,OAI21_X1,negative_unate,0.0217674,0.018471,0.0123287,0.00838694
U1046,A,ZN,OAI21_X1,negative_unate,0.0228355,0.0171466,0.0127627,0.00729069
U1046,B1,ZN,OAI21_X1,negative_unate,0.0338569,0.0221617,0.0213023,0.0176562
U1046,B2,ZN,OAI21_X1,negative_unate,0.0430592,0.022123,0.0223218,0.0126921
U1047,A,ZN,AOI21_X1,negative_unate,0.042291,0.0191164,0.0232335,0.010273
U1047,A,ZN,AOI21_X1,negative_unate,0.0487294,0.0178242,0.0287221,0.0102657
U1047,A,ZN,AOI21_X1,negative_unate,0.0541823,0.017992,0.0316506,0.0112961
U1047,B1,ZN,AOI21_X1,negative_unate,0.0392485,0.0208412,0.0286739,0.0112846
U1047,B2,ZN,AOI21_X1,negative_unate,0.0435149,0.0224196,0.03163,0.0114053
U1048,A,Z,MUX2_X1,positive_unate,0.0414383,0.0602507,0.0151525,0.0129627
U1048,A,Z,MUX2_X1,positive_unate,0.0414403,0.0602507,0.0151525,0.0129624
U1048,B,Z,MUX2_X1,positive_unate,0.0445057,0.0637435,0.0151213,0.0129631
U1048,B,Z,MUX2_X1,positive_unate,0.0445055,0.0637435,0.0151214,0.0129633
U1048,S,Z,MUX2_X1,positive_unate,0.0520222,0.0591422,0.0158984,0.0129068
U1048,S,Z,MUX2_X1,negative_unate,0.0637945,0.069498,0.0151799,0.0128737
U1049,A1,ZN,NOR2_X1,negative_unate,0.0508412,0.0173344,0.040664,0.00958852
U1049,A2,ZN,NOR2_X1,negative_unate,0.0575169,0.0191517,0.0406571,0.0104652
U1050,A,ZN,INV_X1,negative_unate,0.016126,0.0102307,0.0091586,0.00828022
U1051,A,Z,MUX2_X1,positive_unate,0.0414383,0.0602507,0.0151525,0.0129627
U1051,A,Z,MUX2_X1,positive_unate,0.0414403,0.0602507,0.0151525,0.0129624
U1051,B,Z,MUX2_X1,positive_unate,0.0443661,0.0642396,0.015121,0.0129632
U1051,B,Z,MUX2_X1,positive_unate,0.0443659,0.0642395,0.0151212,0.0129635
U1051,S,Z,MUX2_X1,positive_unate,0.0520222,0.0591422,0.0158984,0.0129068
U1051,S,Z,MUX2_X1,negative_unate,0.0637945,0.069498,0.0151799,0.0128737
U1052,A1,ZN,NOR2_X1,negative_unate,0.0504135,0.0214566,0.0400271,0.0131221
U1052,A2,ZN,NOR2_X1,negative_unate,0.0568182,0.0194992,0.0400205,0.0106477
U1053,A,Z,MUX2_X1,positive_unate,0.0414383,0.0602507,0.0151525,0.0129627
U1053,A,Z,MUX2_X1,positive_unate,0.0414403,0.0602507,0.0151525,0.0129624
U1053,B,Z,MUX2_X1,positive_unate,0.0434303,0.0634865,0.0151193,0.0129631
U1053,B,Z,MUX2_X1,positive_unate,0.0434297,0.0634865,0.0151195,0.0129632
U1053,S,Z,MUX2_X1,positive_unate,0.0520222,0.0591422,0.0158984,0.0129068
U1053,S,Z,MUX2_X1,negative_unate,0.0637945,0.069498,0.0151799,0.0128737
U1054,A1,ZN,NOR2_X1,negative_unate,0.0527255,0.020523,0.0419213,0.0127131
U1054,A2,ZN,NOR2_X1,negative_unate,0.0588982,0.0188113,0.0419157,0.0102908
U1055,A1,ZN,NOR2_X1,negative_unate,0.0282747,0.00969111,0.0157527,0.00801488
U1055,A2,ZN,NOR2_X1,negative_unate,0.0259723,0.0112713,0.0135709,0.00666932
U1056,A1,ZN,OR2_X1,positive_unate,0.0280913,0.0455494,0.00879479,0.00941685
U1056,A2,ZN,OR2_X1,positive_unate,0.0317119,0.0537094,0.00909392,0.00941807
U1057,A1,ZN,OR2_X1,positive_unate,0.0304756,0.0504387,0.00889706,0.00970196
U1057,A2,ZN,OR2_X1,positive_unate,0.0334624,0.0555073,0.00903172,0.00969832
U1058,A1,ZN,NOR2_X1,negative_unate,0.0215758,0.00770364,0.0139735,0.00406855
U1058,A2,ZN,NOR2_X1,negative_unate,0.0264994,0.00891723,0.0138482,0.00494726
U1059,A,ZN,INV_X1,negative_unate,0.0219012,0.0135593,0.0119333,0.00910992
U1060,A,ZN,INV_X1,negative_unate,0.0151693,0.00817254,0.0081736,0.00658024
U1061,A1,ZN,NOR2_X1,negative_unate,0.0280008,0.0124034,0.0184023,0.0114634
U1061,A2,ZN,NOR2_X1,negative_unate,0.0325118,0.0135979,0.0183441,0.00869399
U1062,A1,ZN,NAND2_X1,negative_unate,0.0192883,0.0199984,0.0103448,0.0139344
U1062,A2,ZN,NAND2_X1,negative_unate,0.0191043,0.0169395,0.010667,0.00807466
U1063,A1,ZN,NAND2_X1,negative_unate,0.0276729,0.0247296,0.0203268,0.0148828
U1063,A2,ZN,NAND2_X1,negative_unate,0.0320455,0.0256154,0.0217329,0.0147377
U1064,A1,ZN,NAND2_X1,negative_unate,0.0220982,0.0243434,0.0149057,0.0146699
U1064,A2,ZN,NAND2_X1,negative_unate,0.0261617,0.0211348,0.0162595,0.0111868
U1065,A1,ZN,NAND2_X1,negative_unate,0.0279356,0.0301864,0.0199847,0.0180239
U1065,A2,ZN,NAND2_X1,negative_unate,0.0316678,0.0261039,0.0213816,0.0151248
U1066,A,ZN,INV_X1,negative_unate,0.0146862,0.00996192,0.00862427,0.00629048
U1067,A,ZN,OAI21_X1,negative_unate,0.0193235,0.0187967,0.0139665,0.00963493
U1067,A,ZN,OAI21_X1,negative_unate,0.0189757,0.0161465,0.0121474,0.00794622
U1067,A,ZN,OAI21_X1,negative_unate,0.020051,0.0142541,0.012635,0.00654683
U1067,B1,ZN,OAI21_X1,negative_unate,0.0308195,0.0185417,0.0209619,0.0108672
U1067,B2,ZN,OAI21_X1,negative_unate,0.0380026,0.0208774,0.021064,0.0115053
U1068,A,ZN,AOI21_X1,negative_unate,0.0333365,0.0166998,0.0178298,0.00896202
U1068,A,ZN,AOI21_X1,negative_unate,0.038226,0.0152972,0.0216854,0.00896467
U1068,A,ZN,AOI21_X1,negative_unate,0.0436465,0.0154805,0.0245639,0.0100261
U1068,B1,ZN,AOI21_X1,negative_unate,0.0302644,0.0176715,0.0216128,0.00959075
U1068,B2,ZN,AOI21_X1,negative_unate,0.0396646,0.0219967,0.0249089,0.0119192
U1069,A,ZN,OAI21_X1,negative_unate,0.0223462,0.0234338,0.0142634,0.010837
U1069,A,ZN,OAI21_X1,negative_unate,0.0220021,0.0202662,0.0124495,0.00955547
U1069,A,ZN,OAI21_X1,negative_unate,0.0230695,0.0190979,0.0128842,0.00876882
U1069,B1,ZN,OAI21_X1,negative_unate,0.0308414,0.0201006,0.021214,0.0127537
U1069,B2,ZN,OAI21_X1,negative_unate,0.0366772,0.0174291,0.0212349,0.0101509
U1070,A1,ZN,AND2_X1,positive_unate,0.0349566,0.0320096,0.0081922,0.00559173
U1070,A2,ZN,AND2_X1,positive_unate,0.0366495,0.0359507,0.00822502,0.00590775
U1071,A1,ZN,AND2_X1,positive_unate,0.0370049,0.0311322,0.0138345,0.00812443
U1071,A2,ZN,AND2_X1,positive_unate,0.047031,0.0362092,0.0142257,0.00833277
U1072,A,ZN,INV_X1,negative_unate,0.0151958,0.0114789,0.00871582,0.0113591
U1073,A,ZN,INV_X1,negative_unate,0.0138901,0.00795202,0.00758787,0.00533518
U1074,A1,ZN,OR2_X1,positive_unate,0.0289402,0.0487362,0.00852639,0.0096218
U1074,A2,ZN,OR2_X1,positive_unate,0.0271665,0.0515495,0.00839136,0.0096188
U1075,A1,ZN,NAND2_X1,negative_unate,0.0189748,0.015134,0.0119683,0.00901134
U1075,A2,ZN,NAND2_X1,negative_unate,0.0240385,0.0196048,0.0133612,0.00985388
U1076,A,Z,XOR2_X1,positive_unate,0.0670818,0.0697545,0.0357256,0.0142891
U1076,A,Z,XOR2_X1,negative_unate,0.0562533,0.0270064,0.0342693,0.0164166
U1076,B,Z,XOR2_X1,positive_unate,0.0611026,0.0601629,0.0329301,0.0140081
U1076,B,Z,XOR2_X1,negative_unate,0.047078,0.0215737,0.0358502,0.011833
U1077,A1,ZN,NAND2_X1,negative_unate,0.00999421,0.00923177,0.00532545,0.00489462
U1077,A2,ZN,NAND2_X1,negative_unate,0.0144027,0.0106959,0.00720105,0.00438854
U1078,A,ZN,INV_X1,negative_unate,0.0174689,0.0112232,0.00940235,0.00991587
U1079,A,ZN,INV_X1,negative_unate,0.0241972,0.0161513,0.0152542,0.0102907
U1080,A,ZN,INV_X1,negative_unate,0.0147489,0.0102146,0.0084727,0.00689814
U1081,A1,ZN,NAND2_X1,negative_unate,0.0175944,0.0151381,0.0117834,0.00901269
U1081,A2,ZN,NAND2_X1,negative_unate,0.0316954,0.020484,0.0168646,0.0104817
U1082,A,Z,XOR2_X1,positive_unate,0.0635981,0.0552498,0.0358568,0.014104
U1082,A,Z,XOR2_X1,negative_unate,0.0425272,0.0217251,0.0329384,0.0122376
U1082,B,Z,XOR2_X1,positive_unate,0.06249,0.0604271,0.03293,0.0140082
U1082,B,Z,XOR2_X1,negative_unate,0.04733,0.0226791,0.03585,0.0119335
U1083,A1,ZN,NAND2_X1,negative_unate,0.0188463,0.0179212,0.0104615,0.0112927
U1083,A2,ZN,NAND2_X1,negative_unate,0.0209887,0.0195275,0.0112774,0.0103235
U1084,A,ZN,INV_X1,negative_unate,0.0141264,0.00858482,0.00768622,0.00885008
U1085,A,ZN,OAI21_X1,negative_unate,0.0340353,0.0251567,0.0195751,0.0119151
U1085,A,ZN,OAI21_X1,negative_unate,0.0336168,0.0219729,0.0174183,0.0106103
U1085,A,ZN,OAI21_X1,negative_unate,0.0348838,0.0206678,0.0177003,0.00966374
U1085,B1,ZN,OAI21_X1,negative_unate,0.0344602,0.0181586,0.0248746,0.00993932
U1085,B2,ZN,OAI21_X1,negative_unate,0.0394754,0.0219928,0.0248793,0.0120517
U1086,A,ZN,INV_X1,negative_unate,0.0186681,0.0110576,0.010066,0.0132309
U1087,A1,ZN,NAND2_X1,negative_unate,0.0203777,0.016202,0.0118982,0.00952416
U1087,A2,ZN,NAND2_X1,negative_unate,0.0218288,0.0189561,0.0128907,0.00951101
U1088,A,ZN,XNOR2_X1,positive_unate,0.0500636,0.0444721,0.0194552,0.0141955
U1088,A,ZN,XNOR2_X1,negative_unate,0.0438789,0.0245109,0.0327884,0.0142855
U1088,B,ZN,XNOR2_X1,positive_unate,0.0471396,0.0443292,0.0193697,0.0125332
U1088,B,ZN,XNOR2_X1,negative_unate,0.0477694,0.0229769,0.0327957,0.0137822
U1089,A1,ZN,NAND2_X1,negative_unate,0.0108582,0.00877474,0.00584056,0.00446976
U1089,A2,ZN,NAND2_X1,negative_unate,0.0144027,0.0106639,0.00720105,0.00437248
U1090,A,ZN,INV_X1,negative_unate,0.0142088,0.00852263,0.00772471,0.00831736
U1091,A,Z,BUF_X1,positive_unate,0.0492987,0.0395781,0.026592,0.0127552
U1092,A,ZN,INV_X1,negative_unate,0.0146138,0.0113572,0.00842515,0.0107587
U1093,A1,ZN,NAND2_X1,negative_unate,0.0195531,0.01512,0.0120457,0.0090068
U1093,A2,ZN,NAND2_X1,negative_unate,0.0238758,0.0195863,0.0133505,0.00984067
U1094,A,Z,XOR2_X1,positive_unate,0.0658004,0.0562844,0.035785,0.0141051
U1094,A,Z,XOR2_X1,negative_unate,0.0434626,0.0249733,0.0329361,0.0145836
U1094,B,Z,XOR2_X1,positive_unate,0.0610983,0.0601574,0.0329301,0.0140081
U1094,B,Z,XOR2_X1,negative_unate,0.0470727,0.0215704,0.0358502,0.0118327
U1095,A1,ZN,NAND2_X1,negative_unate,0.0191039,0.0181299,0.0104835,0.0116726
U1095,A2,ZN,NAND2_X1,negative_unate,0.0211543,0.0194216,0.0112405,0.0102684
U1096,A1,ZN,NAND2_X1,negative_unate,0.0108582,0.00877479,0.00584056,0.0044698
U1096,A2,ZN,NAND2_X1,negative_unate,0.0144027,0.0106683,0.00720105,0.00437473
U1097,A,ZN,OAI21_X1,negative_unate,0.0257815,0.0240168,0.0161294,0.0113704
U1097,A,ZN,OAI21_X1,negative_unate,0.0254375,0.0210299,0.0141594,0.00997887
U1097,A,ZN,OAI21_X1,negative_unate,0.0264965,0.0196268,0.0146153,0.00881143
U1097,B1,ZN,OAI21_X1,negative_unate,0.0354113,0.0207929,0.0248721,0.0123539
U1097,B2,ZN,OAI21_X1,negative_unate,0.0393681,0.0274721,0.0248793,0.016815
U1098,A,ZN,INV_X1,negative_unate,0.0159429,0.0113221,0.00889297,0.01064
U1099,A1,ZN,NAND2_X1,negative_unate,0.019065,0.0157489,0.0116992,0.0093897
U1099,A2,ZN,NAND2_X1,negative_unate,0.0233549,0.0189459,0.0130074,0.00950924
U1100,A,ZN,XNOR2_X1,positive_unate,0.0500636,0.0468929,0.0194552,0.0141966
U1100,A,ZN,XNOR2_X1,negative_unate,0.0456645,0.0245109,0.0327822,0.0142855
U1100,B,ZN,XNOR2_X1,positive_unate,0.0471736,0.0443216,0.01937,0.0125332
U1100,B,ZN,XNOR2_X1,negative_unate,0.0477635,0.0230245,0.0327957,0.0137857
U1101,A,ZN,INV_X1,negative_unate,0.0164046,0.0110489,0.00902094,0.00934427
U1102,A,ZN,INV_X1,negative_unate,0.0174675,0.0114502,0.00940184,0.0106603
U1103,A,ZN,INV_X1,negative_unate,0.019831,0.0112911,0.010782,0.0112871
U1104,A,ZN,OAI21_X1,negative_unate,0.0239507,0.0208709,0.0160853,0.0107534
U1104,A,ZN,OAI21_X1,negative_unate,0.0236047,0.0181553,0.0141091,0.00910187
U1104,A,ZN,OAI21_X1,negative_unate,0.0246671,0.0161525,0.0145868,0.0074998
U1104,B1,ZN,OAI21_X1,negative_unate,0.0354113,0.0207929,0.0248721,0.0123539
U1104,B2,ZN,OAI21_X1,negative_unate,0.0394456,0.0181327,0.0248793,0.0109508
U1105,A,ZN,INV_X1,negative_unate,0.0277745,0.0220133,0.0186694,0.0154496
U1106,A1,ZN,NAND2_X1,negative_unate,0.0215018,0.0192632,0.0120686,0.0106873
U1106,A2,ZN,NAND2_X1,negative_unate,0.0250286,0.0200182,0.0133034,0.0101051
U1107,A,ZN,XNOR2_X1,positive_unate,0.0500636,0.0446256,0.0194552,0.0141956
U1107,A,ZN,XNOR2_X1,negative_unate,0.0439921,0.0245109,0.032788,0.0142855
U1107,B,ZN,XNOR2_X1,positive_unate,0.0472598,0.0449236,0.0193708,0.0125336
U1107,B,ZN,XNOR2_X1,negative_unate,0.0482309,0.0231453,0.0327957,0.0137944
U1108,A1,ZN,NAND2_X1,negative_unate,0.0188463,0.0179212,0.0104615,0.0112927
U1108,A2,ZN,NAND2_X1,negative_unate,0.0210835,0.0190504,0.0112897,0.00991391
U1109,A,ZN,INV_X1,negative_unate,0.0164046,0.0110489,0.00902094,0.00934429
U1110,A1,ZN,NAND2_X1,negative_unate,0.0192883,0.0199984,0.0103448,0.0139344
U1110,A2,ZN,NAND2_X1,negative_unate,0.0211916,0.0169816,0.0109648,0.00811034
U1111,A,ZN,INV_X1,negative_unate,0.0184631,0.0103311,0.00990811,0.00717984
U1112,A,ZN,AOI21_X1,negative_unate,0.0312708,0.0129899,0.0178227,0.00708004
U1112,A,ZN,AOI21_X1,negative_unate,0.0362633,0.0118076,0.0216804,0.00682448
U1112,A,ZN,AOI21_X1,negative_unate,0.0416959,0.0119485,0.024563,0.00766311
