gate,from,to,type,sense,delay_rise,delay_fall,trans_rise,trans_fall
U1,A,Y,INVxp5_ASAP7_6t_R,negative_unate,12.2224,10.0077,23.4061,17.5424
U10,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U10,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U100,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U101,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U102,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U103,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U104,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U105,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.4148,10.6841,14.2928,10.7767
U106,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U107,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.3671,11.0882,14.2056,11.4173
U108,A,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,18.5424,22.1975,10.8064,6.89563
U108,A,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,11.6993,11.3415,10.3072,10.1966
U108,B,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,18.8847,22.0328,9.38752,6.73277
U108,B,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,11.8022,10.0531,11.5381,9.30587
U109,A,Y,INVxp5_ASAP7_6t_R,negative_unate,16.674,13.0914,18.6322,13.7028
U11,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U11,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U110,A,Y,INVxp5_ASAP7_6t_R,negative_unate,13.5662,10.8106,14.3416,10.9988
U111,A,Y,INVxp5_ASAP7_6t_R,negative_unate,17.3468,15.7451,20.444,17.1981
U112,A,Y,INVxp5_ASAP7_6t_R,negative_unate,10.5833,9.55662,11.1595,9.30853
U113,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,18.9057,21.0493,22.9093,28.3211
U113,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,10.1243,14.464,18.3583,26.3152
U114,A,Y,INVx1_ASAP7_6t_R,negative_unate,9.18711,7.32089,9.31651,6.69185
U115,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,12.3742,14.4889,14.6662,18.2021
U115,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,14.7593,15.6286,15.9577,19.0975
U116,A,Y,INVxp5_ASAP7_6t_R,negative_unate,15.7456,13.1936,19.112,14.9501
U117,A,Y,INVxp5_ASAP7_6t_R,negative_unate,14.5473,14.4022,15.6215,15.1084
U118,A,Y,INVxp5_ASAP7_6t_R,negative_unate,14.2358,11.2478,15.2583,11.2918
U119,A,Y,XNOR2xp5_ASAP7_6t_R,positive_unate,17.4673,24.1906,6.87393,10.11
U119,A,Y,XNOR2xp5_ASAP7_6t_R,negative_unate,12.4257,8.45768,13.0283,7.85984
U119,B,Y,XNOR2xp5_ASAP7_6t_R,positive_unate,21.6589,29.3745,7.38012,9.49798
U119,B,Y,XNOR2xp5_ASAP7_6t_R,negative_unate,14.1646,12.7437,14.7915,13.073
U12,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U12,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U120,A,Y,INVxp5_ASAP7_6t_R,negative_unate,12.5303,10.9116,14.8551,11.7079
U121,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,11.3042,11.8795,11.9121,13.0921
U121,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,12.1332,15.1944,12.744,17.2008
U122,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.5321,14.0396,16.0957,14.9137
U123,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,28.497,29.0131,19.0022,26.2771
U123,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.1629,21.0089,36.2961,27.1385
U123,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,24.9496,27.3125,18.5486,24.9728
U123,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.3652,18.2565,34.4205,26.4058
U124,A,Y,NAND2xp5_ASAP7_6t_R,negative_unate,15.8504,11.3666,29.6753,19.575
U124,B,Y,NAND2xp5_ASAP7_6t_R,negative_unate,21.1822,17.7206,28.8201,22.3042
U125,A1,Y,AO21x2_ASAP7_6t_R,positive_unate,31.6289,36.2026,18.4286,16.2669
U125,A2,Y,AO21x2_ASAP7_6t_R,positive_unate,35.6202,35.1638,18.6225,16.1648
U125,B,Y,AO21x2_ASAP7_6t_R,positive_unate,23.7619,32.3736,16.1229,16.1408
U125,B,Y,AO21x2_ASAP7_6t_R,positive_unate,23.114,30.8284,15.9221,16.0103
U125,B,Y,AO21x2_ASAP7_6t_R,positive_unate,23.7619,32.3736,16.1229,16.1408
U125,B,Y,AO21x2_ASAP7_6t_R,positive_unate,23.5526,27.6552,15.929,14.804
U126,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,12.2939,10.6113,21.3825,17.6789
U126,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,14.9473,14.7118,21.8019,17.2758
U127,A,Y,INVxp5_ASAP7_6t_R,negative_unate,14.2791,14.2896,15.7087,15.0982
U128,A,Y,INVxp5_ASAP7_6t_R,negative_unate,15.9276,12.783,17.7986,13.3508
U129,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.1986,13.5443,15.7062,14.3444
U13,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U13,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U130,A,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,33.4581,29.9479,35.4532,15.9314
U130,A,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,25.8664,24.7811,35.983,29.9059
U130,B,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,33.8572,29.8934,34.4312,15.788
U130,B,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,26.4893,20.974,37.4603,27.2925
U131,A,Y,INVxp5_ASAP7_6t_R,negative_unate,15.1676,13.8351,16.8243,14.4739
U132,A,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,31.0598,27.2867,37.4748,16.5445
U132,A,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,23.9711,20.2152,36.3116,27.2457
U132,B,Y,XOR2xp5r_ASAP7_6t_R,positive_unate,25.8692,23.8331,35.9493,16.4031
U132,B,Y,XOR2xp5r_ASAP7_6t_R,negative_unate,19.9457,14.0662,37.3398,25.4796
U133,A,Y,INVxp5_ASAP7_6t_R,negative_unate,15.6148,14.2286,17.3333,14.934
U134,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,26.186,25.7039,14.5309,19.107
U134,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.202,17.1423,28.0714,20.2962
U134,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,21.6799,21.4442,13.971,17.6723
U134,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,16.3536,13.6339,24.9223,18.7938
U135,A,Y,INVxp5_ASAP7_6t_R,negative_unate,14.9465,14.1036,16.8063,14.9185
U136,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,13.579,12.2973,18.9832,15.9105
U136,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,11.6068,10.1241,18.8439,13.2697
U137,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,10.1799,9.47046,14.8251,12.3995
U137,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,9.84899,8.96661,14.7497,10.8159
U138,A,Y,INVx2_ASAP7_6t_R,negative_unate,9.3037,9.79122,11.7463,10.4213
U139,A,Y,INVxp5_ASAP7_6t_R,negative_unate,17.0885,14.9367,18.9381,15.7831
U14,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U14,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U140,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,12.9204,11.4819,19.2109,16.1166
U140,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,12.2729,11.117,19.229,13.8411
U141,A,Y,NAND2x1_ASAP7_6t_R,negative_unate,11.5322,8.24696,18.6531,11.4546
U141,B,Y,NAND2x1_ASAP7_6t_R,negative_unate,9.63964,7.05673,15.5563,11.0113
U142,A1,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,18.0539,19.2308,20.2024,20.8447
U142,A2,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,18.7686,17.5362,21.2873,19.1936
U142,B,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,12.8548,15.1005,14.1967,16.0015
U142,B,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,13.3084,13.3607,13.0708,14.0075
U142,B,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,12.8548,15.1005,14.1967,16.0015
U142,B,Y,OAI21xp5b_ASAP7_6t_R,negative_unate,12.7577,13.8637,12.8804,15.1048
U143,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,23.4409,23.6329,16.3906,21.5658
U143,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,20.3406,15.3532,29.9966,20.5182
U143,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,24.4813,27.9061,16.3724,20.5626
U143,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.8379,16.7376,31.4077,22.1517
U144,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.6425,14.5945,16.4955,15.6417
U145,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,13.2912,12.5559,18.3258,16.3036
U145,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,11.7733,11.1141,18.2852,13.8181
U146,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,13.1444,12.0626,19.0143,16.4749
U146,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,12.1142,11.2648,19.0033,14.1093
U147,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,12.4336,8.82228,18.9938,12.4776
U147,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,12.2527,9.44074,19.0464,11.3438
U148,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.3922,7.94875,13.7014,9.35802
U148,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,9.73636,7.77304,13.7206,8.03004
U149,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.1992,8.59466,11.1659,8.54338
U149,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,8.4702,7.04401,11.0407,6.58144
U15,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U15,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.684,16.3609,24.8382,19.1505
U150,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,14.6661,13.9735,23.668,19.7287
U150,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,14.3737,13.192,23.6534,18.0629
U151,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,17.5115,15.8224,30.501,24.9869
U151,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,17.5812,15.8546,30.5132,23.4068
U152,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.3029,16.4943,31.6931,25.7538
U152,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.1322,16.2212,31.6917,24.1426
U153,A,Y,INVx13_ASAP7_6t_R,negative_unate,4.97291,4.01904,6.60988,4.56974
U154,A,Y,NAND2xp5_ASAP7_6t_R,negative_unate,12.8943,8.8983,14.1229,9.18101
U154,B,Y,NAND2xp5_ASAP7_6t_R,negative_unate,15.3108,12.5297,15.3492,13.8242
U155,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,28.129,28.1718,18.0842,24.7495
U155,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,25.1486,20.2864,34.445,25.762
U155,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,28.8954,30.6859,18.2441,23.7028
U155,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,25.2561,22.732,34.5947,28.4244
U156,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,22.4049,17.5854,31.4464,22.9599
U156,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,20.8381,16.9426,30.8932,23.6917
U156,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,15.8037,20.1061,18.7749,24.9908
U156,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,15.6556,16.5958,17.5507,19.3577
U156,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,15.716,19.1132,17.4742,24.148
U156,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,15.8037,20.1061,18.7749,24.9908
U157,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,23.7983,23.2934,15.3749,19.6301
U157,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,20.001,15.0741,28.2152,18.8443
U157,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,27.6179,28.0264,15.915,18.7008
U157,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.8708,19.9001,30.0611,23.6786
U158,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,30.8904,30.6344,21.8298,28.7171
U158,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,29.3494,23.2333,41.7878,30.0818
U158,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,27.3463,31.3713,21.3614,27.5629
U158,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,27.478,20.6121,40.8559,29.3046
U159,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,18.4279,19.9712,21.4048,25.3772
U159,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,8.97119,12.597,15.736,22.2569
U16,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,16.836,16.7292,23.5479,20.664
U16,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,18.6798,16.3609,24.8359,19.1505
U160,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,23.8952,24.7326,19.2797,27.2507
U160,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,21.4013,17.3915,35.3042,25.9626
U160,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,24.3615,25.6524,19.2146,26.0896
U160,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,21.2355,17.756,35.3357,27.1936
U161,A,Y,INVx1_ASAP7_6t_R,negative_unate,7.12578,5.86551,12.0327,8.94612
U162,A1,Y,OA21x1_ASAP7_6t_R,positive_unate,25.1742,27.3447,17.332,15.4646
U162,A2,Y,OA21x1_ASAP7_6t_R,positive_unate,29.6763,30.5102,17.8322,15.7688
U162,B,Y,OA21x1_ASAP7_6t_R,positive_unate,25.7049,21.3429,17.3504,13.9968
U162,B,Y,OA21x1_ASAP7_6t_R,positive_unate,23.2823,21.0371,16.8043,13.6949
U162,B,Y,OA21x1_ASAP7_6t_R,positive_unate,25.7049,21.3429,17.3504,13.9968
U162,B,Y,OA21x1_ASAP7_6t_R,positive_unate,24.4617,20.5257,17.2962,13.6983
U163,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,25.8728,27.0811,19.8821,27.5299
U163,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,24.176,18.8566,36.972,26.6196
U163,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,26.1209,28.2642,19.8105,26.3246
U163,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,23.7394,19.5254,36.9014,27.9434
U164,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,11.8347,11.3167,16.8872,15.6911
U164,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,11.854,11.7306,17.0961,13.5973
U165,A,Y,NOR2x2_ASAP7_6t_R,negative_unate,12.6393,11.8441,17.7209,15.4226
U165,B,Y,NOR2x2_ASAP7_6t_R,negative_unate,11.2071,10.2954,17.6211,13.1114
U166,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.6947,7.90828,14.5493,9.62601
U166,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,9.81904,7.38158,14.4866,8.14224
U167,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.979,8.11623,14.8466,9.71146
U167,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,9.95103,7.38003,14.7678,8.1391
U168,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,31.6521,31.0013,21.9194,28.7199
U168,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,29.8798,23.9356,42.1094,30.5584
U168,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,27.3029,31.3743,21.3548,27.5631
U168,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,27.481,20.5584,40.8575,29.2708
U169,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,16.7424,17.5688,21.154,25.3889
U169,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,14.5323,17.1193,19.2165,25.1353
U17,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,19.3388,12.1648,21.8711,12.8793
U17,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.0308,11.5318,18.7358,13.0965
U17,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,14.0367,16.7555,15.7796,17.6466
U17,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,13.8494,13.5776,14.3351,14.3405
U17,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,13.9125,15.2882,14.2207,16.8668
U17,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,14.0367,16.7555,15.7796,17.6466
U170,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,12.1839,12.57,12.6467,13.7113
U170,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,12.9477,15.7147,13.7283,17.8122
U171,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.7785,29.8424,20.3031,27.6217
U171,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,27.564,22.3236,38.7576,28.839
U171,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,24.1693,25.0558,19.7015,26.2778
U171,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,21.1664,17.3404,36.3379,27.2164
U172,A,Y,AND2x4_ASAP7_6t_R,positive_unate,18.3793,13.4114,9.70729,6.82299
U172,B,Y,AND2x4_ASAP7_6t_R,positive_unate,24.527,20.0556,9.92066,6.96829
U173,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,23.5233,24.207,18.5407,26.1417
U173,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,20.709,16.8432,33.8349,24.8529
U173,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,21.3182,21.9669,18.4355,24.9697
U173,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,18.0795,14.2482,33.7748,25.6482
U174,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.2561,13.5472,15.2712,14.4345
U175,A1,Y,OAI21xp5_ASAP7_6t_R,negative_unate,27.9708,21.5154,44.4476,31.4158
U175,A2,Y,OAI21xp5_ASAP7_6t_R,negative_unate,30.8242,26.1095,45.5281,34.6265
U175,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.2137,22.9752,23.6596,32.6618
U175,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.0723,18.5085,22.4063,24.6387
U175,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.1355,21.966,22.3913,31.6756
U175,B,Y,OAI21xp5_ASAP7_6t_R,negative_unate,16.2137,22.9752,23.6596,32.6618
U176,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,9.90948,10.9705,10.526,12.42
U176,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,8.4558,11.3844,8.64672,13.0215
U177,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,24.7256,25.1757,19.3245,27.2549
U177,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,21.8391,18.0552,35.308,26.193
U177,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,26.1316,26.8381,19.3232,26.1107
U177,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.1857,19.7468,35.5577,27.8936
U178,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.8313,8.4112,14.0293,9.85337
U178,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,9.65466,7.61808,13.9475,8.25701
U179,A,Y,NAND2xp5_ASAP7_6t_R,negative_unate,15.8116,11.1674,18.4421,12.4237
U179,B,Y,NAND2xp5_ASAP7_6t_R,negative_unate,12.2499,10.8957,15.1829,12.5073
U18,A,Y,BUFx3_ASAP7_6t_R,positive_unate,31.861,35.1611,28.6466,23.9845
U180,A,Y,XOR2x2_ASAP7_6t_R,positive_unate,26.2899,29.7251,14.7267,13.7568
U180,A,Y,XOR2x2_ASAP7_6t_R,negative_unate,33.771,32.3908,14.5758,10.9533
U180,B,Y,XOR2x2_ASAP7_6t_R,positive_unate,24.8087,27.897,14.577,13.7527
U180,B,Y,XOR2x2_ASAP7_6t_R,negative_unate,33.0989,30.9032,14.7079,10.9528
U181,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,10.748,8.52771,13.4807,9.61189
U181,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,9.38476,7.43292,13.3737,7.88492
U182,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.6228,12.1575,22.2257,17.759
U182,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.4926,11.9019,22.2201,16.2027
U183,A,Y,NOR2x2R_ASAP7_6t_R,negative_unate,12.5488,8.98816,19.1459,12.6479
U183,B,Y,NOR2x2R_ASAP7_6t_R,negative_unate,12.1009,9.16307,19.1488,11.3617
U184,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,13.3542,13.0341,17.1832,15.8062
U184,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,10.9863,10.4345,17.0354,13.0771
U185,A,Y,INVx13_ASAP7_6t_R,negative_unate,4.54747,3.69323,5.60315,3.83121
U186,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.3922,28.914,19.6644,24.6849
U186,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,27.6912,20.6551,38.0434,26.0169
U186,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.5221,30.8227,19.7406,23.6422
U186,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.9131,22.4685,37.6093,28.1277
U187,A1,Y,AOI21xp5_ASAP7_6t_R,negative_unate,23.6064,23.4399,31.7409,28.3731
U187,A2,Y,AOI21xp5_ASAP7_6t_R,negative_unate,25.0394,21.8657,33.5815,27.5312
U187,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,22.4998,13.1813,32.3051,15.3771
U187,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,22.4998,13.1813,32.3051,15.3771
U187,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,21.1573,13.1157,30.9974,14.435
U187,B,Y,AOI21xp5_ASAP7_6t_R,negative_unate,17.3323,13.054,23.5794,14.4844
U188,A,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,13.7726,14.3556,14.404,15.6341
U188,B,Y,NAND2xp5R_ASAP7_6t_R,negative_unate,9.35653,11.1207,9.72123,12.6907
U189,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.2216,28.8898,19.1629,25.6505
U189,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.4929,21.2762,36.6093,27.0039
U189,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,26.1078,27.6094,18.7266,24.3554
U189,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.9309,19.2275,34.733,26.3852
U19,A,Y,BUFx4_ASAP7_6t_R,positive_unate,31.6562,34.9717,24.8019,20.5567
U190,A,Y,XNOR2xp5_ASAP7_6t_R,positive_unate,30.1283,37.4192,21.7222,30.0109
U190,A,Y,XNOR2xp5_ASAP7_6t_R,negative_unate,29.2067,23.6104,41.8089,30.6029
U190,B,Y,XNOR2xp5_ASAP7_6t_R,positive_unate,24.8511,34.0973,21.1268,28.6975
U190,B,Y,XNOR2xp5_ASAP7_6t_R,negative_unate,24.0265,18.9206,39.5899,29.0432
U191,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.2899,28.9575,18.868,25.4975
U191,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.3849,21.4016,36.1321,27.0202
U191,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,25.2983,26.9539,18.3232,24.1838
U191,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,22.1581,18.4026,33.9334,25.8153
U192,A,Y,NOR2x1_ASAP7_6t_R,negative_unate,19.0029,19.8508,19.8689,20.0832
U192,B,Y,NOR2x1_ASAP7_6t_R,negative_unate,17.7877,18.8186,21.8522,19.1642
U193,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.616,28.9258,19.6923,24.6851
U193,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,27.708,20.8495,38.0544,26.172
U193,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.6665,30.659,19.7587,23.6284
U193,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,26.7521,22.644,37.5155,28.3065
U194,A,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.4872,14.2752,16.0358,14.8231
U194,B,Y,NOR2xp5_ASAP7_6t_R,negative_unate,13.3148,12.5284,16.5838,12.6937
U195,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,28.8681,27.505,16.4357,21.4935
U195,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,24.6476,19.9394,31.8342,23.933
U195,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,23.4298,24.6687,15.7037,20.1281
U195,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,19.5356,15.8018,28.7894,21.5848
U196,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.3734,14.007,16.1947,14.9858
U197,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,25.9096,27.381,20.9183,28.5104
U197,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,24.9831,18.9505,38.972,27.4675
U197,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.7514,32.5085,21.3228,27.5327
U197,B,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,28.2535,23.8097,40.6622,31.2437
U198,A,Y,INVx1_ASAP7_6t_R,negative_unate,14.0614,14.2053,15.3722,15.1227
U199,A,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,29.0519,28.7035,18.3044,24.8658
U199,A,Y,XNOR2xp5f_ASAP7_6t_R,negative_unate,25.9173,21.1049,35.1089,26.4678
U199,B,Y,XNOR2xp5f_ASAP7_6t_R,positive_unate,27.0692,29.3182,18.0546,23.6926
